FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,09/28/22 14:57:55.124999936
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
12159:ch1,Timeseries,8Hz,,,,,,
12159:ch2,Timeseries,8Hz,,,,,,
12159:ch3,Timeseries,8Hz,,,,,,
40622:ch1,Timeseries,8Hz,,,,,,
40622:ch2,Timeseries,8Hz,,,,,,
40622:ch3,Timeseries,8Hz,,,,,,

DATA_START
Time,12159:ch1,12159:ch2,12159:ch3,40622:ch1,40622:ch2,40622:ch3
0.000000000,0.9413009595264157,-0.136100960738986,-0.3107584456461154,,,
0.125000000,0.9411615828666982,-0.135908175692748,-0.3102240859052472,,,
0.250000000,0.9411809407361034,-0.1358233502724033,-0.3104249730258744,,,
0.375000000,0.9413900057256797,-0.1358040717677795,-0.3106780907978646,,,
0.500000000,0.941235142770438,-0.1357231020483596,-0.3105736294951384,,,
0.625000000,0.9412622437876053,-0.1359235984964471,-0.3106981795099273,,,
0.750000000,0.9413900057256797,-0.1358888971881242,-0.3104008665713991,,,
0.875000000,0.9412661153614863,-0.1358734743844252,-0.310163819769059,,,
1.000000000,0.9412273996226759,-0.1358272059733281,-0.3103566714048611,,,
1.124999881,0.9413358036913451,-0.1358426287770271,-0.3100071278149699,,,
1.250000000,0.9412235280487948,-0.1360469809260394,-0.3103526536624486,,,
1.375000119,0.9411228671278877,-0.136197353262105,-0.3105816649799635,,,
1.500000000,0.9410647935196721,-0.1363053128879983,-0.3106017536920263,,,
1.624999881,0.941239014344319,-0.1361780747574812,-0.3106178246616764,,,
1.750000000,0.9412738585092484,-0.1361510848510079,-0.3105655940103134,,,
1.875000119,0.9411654544405792,-0.1361896418602555,-0.3105254165861879,,,
2.000000000,0.9412312711965569,-0.1361510848510079,-0.3104932746468876,,,
2.125000000,0.9413474184129882,-0.1361086721408356,-0.3102923875262604,,,
2.249999762,0.9412312711965569,-0.1363284470935469,-0.3101316778297587,,,
2.375000000,0.9411770691622223,-0.136100960738986,-0.3105213988437754,,,
2.500000000,0.9411228671278877,-0.1361433734491584,-0.3102240859052472,,,
2.500000000,,,,9.767946949068573e-05,7.012475361989345e-05,7.384665468634921e-05
2.625000000,0.9413551615607503,-0.1361048164399108,-0.3102642633293726,,,
2.625000000,,,,0.0001562871511850972,-0.0001246662286575884,4.275332639736007e-05
