FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,08/16/22 13:41:41.124999936
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
12159:ch1,Timeseries,8Hz,,,,,,
12159:ch2,Timeseries,8Hz,,,,,,
12159:ch3,Timeseries,8Hz,,,,,,
40622:ch1,Timeseries,8Hz,,,,,,
40622:ch2,Timeseries,8Hz,,,,,,
40622:ch3,Timeseries,8Hz,,,,,,

DATA_START
Time,12159:ch1,12159:ch2,12159:ch3,40622:ch1,40622:ch2,40622:ch3
0.000000000,0.9957081872767048,-0.03256767950733774,-0.08879424832275618,,,
0.125000000,0.9956423705207271,-0.03304964212293271,-0.08862148539901682,,,
0.250000000,0.9955571958953442,-0.03272190754432813,-0.08817149824881199,,,
0.375000000,0.9956501136684892,-0.0317001467992668,-0.08769338690171935,,,
0.500000000,0.9957585177371584,-0.03192763315382763,-0.08823176438500013,,,
0.625000000,0.9955726821908684,-0.03266407203045674,-0.08830408374842591,,,
0.750000000,0.9956617283901323,-0.0325715352082625,-0.0877536530379075,,,
0.875000000,0.9957546461632774,-0.03247899838606827,-0.0875768723717556,,,
1.000000000,0.9955804253386304,-0.03333110829044017,-0.08809114340056112,,,
1.124999881,0.9957314167199911,-0.03320001445899834,-0.08877415961069346,,,
1.250000000,0.9956191410774409,-0.03223223352688365,-0.08832417246048863,,,
1.375000119,0.9956036547819167,-0.03242887427404639,-0.0886013966869541,,,
1.500000000,0.9954797644177233,-0.0323324817509274,-0.08859336120212902,,,
1.624999881,0.9955726821908684,-0.03252526679716539,-0.08834426117255134,,,
1.750000000,0.9956539852423703,-0.03217439801301225,-0.08825587083947539,,,
1.875000119,0.9955223517304148,-0.03214355240561417,-0.08840452730873949,,,
2.000000000,0.9958243344931361,-0.03250213259161683,-0.08815140953674927,,,
2.125000000,0.9956191410774409,-0.03269877333877957,-0.08827194180912556,,,
2.249999762,0.9954875075654854,-0.033462202121882,-0.08779784820444547,,,
2.375000000,0.9956501136684892,-0.03324628287009546,-0.08757285462934306,,,
2.500000000,0.9956578568162513,-0.03321929296362214,-0.08785811434063362,,,
2.500000000,,,,-4.688614535552915e-05,1.947909822774818e-05,-6.607332261410193e-05
2.625000000,0.99554170959982,-0.03291469259056612,-0.08808310791573604,,,
2.625000000,,,,0.0002148948328795086,-7.402057326544309e-05,-0.0001787866376616876
2.750000238,0.9955959116341546,-0.03226307913428172,-0.08791034499199668,,,
2.750000238,,,,-0.0001054938270499406,1.168745893664891e-05,-7.773332072247285e-06
2.875000000,0.9957972334759688,-0.03245971988144447,-0.08764919173518138,,,
2.875000000,,,,1.562871511850972e-05,-0.0002259575394418789,-8.550665279472014e-05
3.000000000,0.9958475639364224,-0.03238646156387404,-0.08760901431105594,,,
3.000000000,,,,-0.0001172153633888229,-7.012475361989345e-05,-0.0002021066338784294
3.125000000,0.995719801998348,-0.03161917707984685,-0.08795454015853466,,,
